,id_str,screen_name,full_text,retweeted
27,1525393242379853824,mya_nell_,"롤 자랭 플레가기 프로젝트 구합니다!
승리지향 즐겜모드 장착해주세용!

조건 : 솔랭 티어 실버상위~플

탑
정글

성인으로만 총 2분 구하구요!
마이크와 브리핑은 필수입니다!!
적당한 하이텐션 장착 가능하신분만 와주쎄용😉",1
28,1446126437098950666,mya_nell_,"롤 자랭 플레가기 프로젝트 구합니다!
승리지향 즐겜모드 장착해주세용!

조건 : 솔랭 티어 실버상위~플

탑
정글

성인으로만 총 2분 구하구요!
마이크와 브리핑은 필수입니다!!
적당한 하이텐션 장착 가능하신분만 와주쎄용😉",0
29,1399011117918146564,nini_cutething,산리오 블루 시나모롤 탑꾸 판매 완료❤️,0
30,1169570641780961280,Seoul_number,"전에 말했듯이 난 롤할때 주로 가는 라인이 탑(미드는 가끔 스왑할때) 부라인은 바텀(원딜, 서폿) 

그리고 젤 자신 있는 탑챔은 가렌, 제이스, 피오라, 오공, 말파, 모데, 퀸, 쉔, 탐켄치 등 
자신 없는 탑챔은 이렐, 카밀, 다리우스, 세트 등",0
31,1465312791644966916,pposongtako,"롤 에유에 대해 얘기할 수 있는 것:
미드 차이
탑 차이
정글 차이
하여튼 뭔가 계속 차이가 남
kda",0
32,1235903770334093313,ezzang_chuu,@__COSAENA 당연하죠 저의 아이도루.니까... 다들 파랑색이 하나씩 있어서 시나모롤 탑꾸와 잘 어울리겠군요 히히,0
33,756477379342499840,_jb3885,"2022.05.13
롤다운-다리스트레칭-호흡 을 먼저 하고 런지를 했나 기억이 안나는데 무릎꿇고 앉아서 하는 호흡 진짜 힘듬 진짜 옆으로 누워서 하는것보다 더 힘듬
누워서 양 다리 테이블탑 하고 좌우외복사근 운동 하는데 나 요 며칠동안 복근 운동해서 근육통 있는데 또 복근운동해서 비명지름",0
34,1503053488707629056,Fem_Sub_blat,"친구가 롤 얘기를 해줬는데.. 미드 바텀 탑 어쩌구 하는데 진짜 바텀이랑 탑 밖에 안 들리더라.. 이게 맞나

.
#섹트",0
35,870690376780193792,queenmap7,"어쩔티비 저쩔티비 어쩌고 저쩌고 아무리 지롤을 떨어봐도 서노가 탑인걸⁉️ 부정할 수가 있나⁉️🤣
연극으로 시작해서 로코에 주연급으로 성장한 사람은 김서노 딱 하난데⁉️
부러우면 지는거라던데 누가아~~~?
욕하면 이미 부러운거라던데 누가아~~~?
욕하는  당신들은 이미 루저😁
서노는 이미 위너👍",0
36,722088521012359168,Duckssun_,"9시 좀 넘어서 롤 하실분
바텀은 아펠유미할거라 탑미드정글 구해욤

할사람 일반이에용 🥰",0
37,1403308797519560707,Park_ION_0328,조지 롤하는거 보고있는데 뉴비가 탑가면 재능잇다고 하는거 고인물특이야? 개웃겨,0
38,1314194948892233733,rthamg,사실 나 이스응준넣어둔탑꾸도 시나~모롤이긴해,0
